id;name;country
40572;South Dolphin;KW
60096;Villa Cisneros;EH
60101;Tanger Aerodrome;MA
60115;Oujda;MA
60120;Kenitra;MA
60135;Rabat-Sale;MA
60150;Meknes;MA
60155;Casablanca;MA
60195;Midelt;MA
60220;Essaouira;MA
60230;Marrakech;MA
60250;Agadir;MA
60265;Ouarzazate;MA
60318;Tetuan / Sania Ramel;MA
60351;Jijel Achouat;DZ
60353;Jijel Port;DZ
60355;Skikda;DZ
60360;Annaba;DZ
60367;El-Kala;DZ
60369;Alger Port;DZ
60387;Dellys;DZ
60390;Dar-El-Beida;DZ
60395;Tizi-Ouzou;DZ
60401;Bejaia-Port / Béjaïa;DZ
60402;Bejaia;DZ
60403;Guelma;DZ
60405;Guelma / Bouchegouf;DZ
60410;Tenes;DZ
60415;Ain-Bessam / Oulad Zidane;DZ
60417;Bouira;DZ
60419;Constantine;DZ
60421;Oum El Bouaghi;DZ
60423;Souk Ahras;DZ
60425;Chlef;DZ
60430;Miliana;DZ
60437;Medea;DZ
60444;Bordj Bou Arreridj;DZ
60445;Setif;DZ
60452;Arzew;DZ
60457;Mostaganem Ville;DZ
60461;Oran Port;DZ
60467;M'Sila;DZ
60468;Batna;DZ
60471;Barika;DZ
60475;Tebessa;DZ
60476;Khenchella;DZ
60490;Oran / Es Senia;DZ
60492;Relizane;DZ
60506;Mascara Metmore;DZ
60507;Mascara-Ghriss;DZ
60511;Tiaret;DZ
60514;Ksar Chellala;DZ
60515;Bou-Saada;DZ
60517;Ghazaouet;DZ
60518;Beni-Saf;DZ
60520;Sidi Bel Abbes;DZ
60522;Maghnia;DZ
60525;Biskra;DZ
60531;Tlemcen Zenata;DZ
60535;Djelfa;DZ
60536;Saida;DZ
60540;El Kheiter;DZ
60545;Laghouat;DZ
60549;Mecheria;DZ
60550;Elbayadh;DZ
60555;Touggourt;DZ
60557;Naama;DZ
60559;El Oued;DZ
60560;Ain Sefra;DZ
60563;Hassir'Mel / Berriane;DZ
60566;Ghardaia;DZ
60571;Bechar;DZ
60580;Ouargla;DZ
60581;Hassi-Messaoud;DZ
60590;El Golea;DZ
60602;Beni Abbes;DZ
60607;Timimoun;DZ
60611;In Amenas;DZ
60620;Adrar;DZ
60630;In Salah;DZ
60640;Illizi;DZ
60656;Tindouf;DZ
60670;Djanet;DZ
60680;Tamanrasset;DZ
60686;Bordji B. Mokhtar;DZ
60690;In-Guezzam;DZ
60715;Tunis-Carthage;TN
60725;Jendouba;TN
60735;Kairouan;TN
60745;Gafsa;TN
60765;Gabes;TN
61017;Bilma;NE
61024;Agadez;NE
61036;Tillabery;NE
61043;Tahoua;NE
61045;Goure;NE
61049;N'Guigmi;NE
61052;Niamey-Aero;NE
61075;Birni-N'Konni;NE
61080;Maradi;NE
61085;Diffa;NE
61090;Zinder;NE
61091;Magaria;NE
61096;Maine-Soroa;NE
61099;Gaya;NE
