id,name,country,normal_month,tavg,tmin,tmax,prcp,wspd,pres,tsun,latitude,longitude
01007,New Alesund,NO,1,-10.5,-13.9,-7.1,56.1,,,,78.9167,11.9333
01007,New Alesund,NO,2,-11.4,-15.0,-7.8,42.8,,,,78.9167,11.9333
01007,New Alesund,NO,3,-12.0,-15.4,-8.5,39.4,,,,78.9167,11.9333
01007,New Alesund,NO,4,-8.6,-12.0,-5.3,25.3,,,,78.9167,11.9333
01007,New Alesund,NO,5,-2.2,-4.7,0.4,19.4,,,,78.9167,11.9333
01007,New Alesund,NO,6,3.1,1.2,5.0,14.2,,,,78.9167,11.9333
01007,New Alesund,NO,7,5.9,4.0,7.8,32.3,,,,78.9167,11.9333
01007,New Alesund,NO,8,4.8,2.9,6.6,40.0,,,,78.9167,11.9333
01007,New Alesund,NO,9,1.2,-0.9,3.2,58.5,,,,78.9167,11.9333
01007,New Alesund,NO,10,-4.2,-6.8,-1.7,41.4,,,,78.9167,11.9333
01007,New Alesund,NO,11,-7.0,-10.0,-4.1,55.8,,,,78.9167,11.9333
01007,New Alesund,NO,12,-9.4,-12.8,-6.1,42.9,,,,78.9167,11.9333
01008,Svalbard Lufthavn,NO,1,-11.0,-14.2,-7.7,20.3,,1003.9,,78.25,15.4667
01008,Svalbard Lufthavn,NO,2,-11.6,-15.0,-8.3,15.5,,1006.2,,78.25,15.4667
01008,Svalbard Lufthavn,NO,3,-12.2,-15.5,-8.8,15.2,,1007.9,,78.25,15.4667
01008,Svalbard Lufthavn,NO,4,-8.9,-12.1,-5.7,10.2,,1012.9,,78.25,15.4667
01008,Svalbard Lufthavn,NO,5,-2.0,-3.9,-0.0,7.1,,1016.1,,78.25,15.4667
01008,Svalbard Lufthavn,NO,6,3.9,2.2,5.6,8.7,,1013.0,,78.25,15.4667
01008,Svalbard Lufthavn,NO,7,7.4,5.4,9.4,17.8,,1011.7,,78.25,15.4667
01008,Svalbard Lufthavn,NO,8,6.3,4.4,8.2,21.0,,1010.6,,78.25,15.4667
01008,Svalbard Lufthavn,NO,9,2.2,0.3,4.0,23.3,,1008.2,,78.25,15.4667
01008,Svalbard Lufthavn,NO,10,-3.8,-6.1,-1.5,17.3,,1009.6,,78.25,15.4667
01008,Svalbard Lufthavn,NO,11,-6.6,-9.3,-3.8,23.7,,1006.2,,78.25,15.4667
01008,Svalbard Lufthavn,NO,12,-9.1,-12.2,-6.1,25.4,,1003.7,,78.25,15.4667
01015,Hekkingen Lighthouse,NO,1,-0.8,-2.7,1.2,102.1,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,2,-1.1,-3.0,0.8,62.4,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,3,-0.0,-1.9,1.8,74.2,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,4,2.5,0.5,4.5,49.3,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,5,6.3,4.0,8.6,46.0,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,6,9.4,7.3,11.5,37.5,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,7,12.2,9.9,14.4,64.7,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,8,12.0,10.0,14.1,89.6,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,9,9.4,7.5,11.2,105.7,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,10,5.1,3.5,6.7,117.1,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,11,2.3,0.6,4.0,65.6,,,,69.6,17.8333
01015,Hekkingen Lighthouse,NO,12,0.5,-1.3,2.4,85.1,,,,69.6,17.8333
01025,Tromso Airport,NO,1,-2.9,-5.4,-0.4,103.4,,1002.4,,69.6833,18.9167
01025,Tromso Airport,NO,2,-3.2,-5.7,-0.7,92.2,,1003.4,,69.6833,18.9167
01025,Tromso Airport,NO,3,-1.9,-4.5,0.7,92.2,,1005.3,,69.6833,18.9167
01025,Tromso Airport,NO,4,1.2,-1.6,3.9,60.9,,1010.9,,69.6833,18.9167
01025,Tromso Airport,NO,5,5.6,2.7,8.6,55.0,,1013.7,,69.6833,18.9167
01025,Tromso Airport,NO,6,9.6,6.7,12.5,52.5,,1012.1,,69.6833,18.9167
01025,Tromso Airport,NO,7,12.4,9.3,15.6,61.1,,1011.8,,69.6833,18.9167
01025,Tromso Airport,NO,8,11.5,8.5,14.5,78.8,,1011.3,,69.6833,18.9167
01025,Tromso Airport,NO,9,8.0,5.3,10.7,103.9,,1009.2,,69.6833,18.9167
01025,Tromso Airport,NO,10,3.2,0.9,5.5,123.7,,1007.6,,69.6833,18.9167
01025,Tromso Airport,NO,11,0.3,-2.0,2.6,94.8,,1004.9,,69.6833,18.9167
01025,Tromso Airport,NO,12,-1.6,-4.0,0.9,106.2,,1002.3,,69.6833,18.9167
01026,Tromso,NO,1,-3.2,-5.3,-1.0,108.2,,1003.2,156.0,69.65,18.9333
01026,Tromso,NO,2,-3.4,-5.7,-1.1,94.7,,1004.0,2155.7,69.65,18.9333
01026,Tromso,NO,3,-1.9,-4.4,0.6,96.8,,1005.6,6372.9,69.65,18.9333
01026,Tromso,NO,4,1.2,-1.6,4.1,70.8,,1011.3,10054.3,69.65,18.9333
01026,Tromso,NO,5,5.6,2.4,8.8,56.1,,1012.8,14442.9,69.65,18.9333
01026,Tromso,NO,6,9.6,6.2,13.0,57.2,,1012.7,15445.7,69.65,18.9333
01026,Tromso,NO,7,12.6,9.0,16.3,73.2,,1011.6,14320.0,69.65,18.9333
01026,Tromso,NO,8,11.6,8.3,15.0,90.2,,1011.1,10504.0,69.65,18.9333
01026,Tromso,NO,9,8.1,5.3,10.9,110.4,,1007.7,5545.7,69.65,18.9333
01026,Tromso,NO,10,3.1,0.9,5.2,127.7,,1007.2,3760.0,69.65,18.9333
01026,Tromso,NO,11,0.1,-1.9,2.1,93.7,,1003.6,394.3,69.65,18.9333
01026,Tromso,NO,12,-1.8,-3.9,0.3,109.9,,1002.8,0.0,69.65,18.9333
01028,Bjornoya,NO,1,-4.8,-7.3,-2.3,47.5,,1001.3,,74.5167,19.0167
01028,Bjornoya,NO,2,-5.2,-7.7,-2.8,42.9,,1003.1,,74.5167,19.0167
01028,Bjornoya,NO,3,-5.5,-8.0,-3.0,40.6,,1004.9,,74.5167,19.0167
01028,Bjornoya,NO,4,-3.6,-5.7,-1.4,31.5,,1010.9,,74.5167,19.0167
01028,Bjornoya,NO,5,-0.1,-1.7,1.5,25.0,,1014.7,,74.5167,19.0167
01028,Bjornoya,NO,6,3.0,1.5,4.5,19.6,,1013.2,,74.5167,19.0167
